Date,UNEMP,PAYEMS,INDPRO,PERMIT,T10Y2Y,UMCSENT,T10Y3M,CPIAUCSL,USREC,W875RX1,CMRMTSPL
9/1/1972,5.5,74264,42.1288,2393,,,,42.100,0,4396.4,462692.829
10/1/1972,5.6,74674,42.6703,2354,,,,42.200,0,4471,469079.382
11/1/1972,5.3,74973,43.1755,2234,,,,42.400,0,4504.1,478052.999
12/1/1972,5.2,75268,43.6617,2419,,,,42.500,0,4530.8,484428.738
1/1/1973,4.9,75617,43.9783,2271,,,,42.700,0,4506.6,490599.001
2/1/1973,5,76014,44.6103,2226,,,,43.000,0,4523.8,491365.627
3/1/1973,4.9,76284,44.6294,2062,,,,43.400,0,4525.8,489403.4
4/1/1973,5,76455,44.5680,1908,,,,43.700,0,4539.4,487378.688
5/1/1973,4.9,76648,44.8608,1931,,,,43.900,0,4556.1,485816.596
6/1/1973,4.9,76887,44.9186,2051,,,,44.200,0,4573.5,484846.898
7/1/1973,4.8,76913,45.0850,1819,,,,44.200,0,4591.5,491454.547
8/1/1973,4.8,77168,45.0221,1809,,,,45.000,0,4573.1,481298.546
9/1/1973,4.8,77276,45.3801,1704,,,,45.200,0,4601.6,484620.995
10/1/1973,4.6,77607,45.7462,1411,,,,45.600,0,4644.2,497051.642
11/1/1973,4.8,77920,45.9548,1402,,,,45.900,0,4654.9,505091.609
12/1/1973,4.9,78031,45.8252,1288,,,,46.300,1,4644,498331.356
1/1/1974,5.1,78100,45.5207,1331,,,,46.800,1,4589,498780.758
2/1/1974,5.2,78254,45.3825,1360,,,,47.300,1,4559.3,496333.08
3/1/1974,5.1,78296,45.3798,1440,,,,47.800,1,4527.8,498011.728
4/1/1974,5.1,78382,45.2470,1254,,,,48.100,1,4505.4,494381.666
5/1/1974,5.1,78549,45.6083,1138,,,,48.600,1,4508.4,496557.781
6/1/1974,5.4,78604,45.5216,1086,,,,49.000,1,4506.5,494825.06
7/1/1974,5.5,78636,45.6136,1002,,,,49.300,1,4510,493693.144
8/1/1974,5.5,78619,45.1303,917,,,,49.900,1,4503.6,488904.732
9/1/1974,5.9,78610,45.1377,840,,,,50.600,1,4498,484762.785
10/1/1974,6,78630,44.9950,824,,,,51.000,1,4507.8,476462.069
11/1/1974,6.6,78265,43.5148,783,,,,51.500,1,4472.5,471363.641
12/1/1974,7.2,77652,41.9503,869,,,,51.900,1,4456,457546.337
1/1/1975,8.1,77293,41.3689,726,,,,52.300,1,4442.2,456397.599
2/1/1975,8.1,76918,40.4252,729,,,,52.600,1,4421.8,453447.648
3/1/1975,8.6,76648,39.9804,709,,,,52.800,1,4421.6,439827.408
4/1/1975,8.8,76460,40.0572,866,,,,53.000,0,4416.5,444233.709
5/1/1975,9,76624,39.9402,914,,,,53.100,0,4439.9,444131.573
6/1/1975,8.8,76521,40.1927,946,,,,53.500,0,4449,448124.52
7/1/1975,8.6,76770,40.6115,1020,,,,54.000,0,4447.1,450349.9
8/1/1975,8.4,77153,41.0114,994,,,,54.200,0,4484.7,455633.376
9/1/1975,8.4,77228,41.5422,1064,,,,54.600,0,4497.5,456724.437
10/1/1975,8.4,77540,41.7224,1096,,,,54.900,0,4516.9,457281.983
11/1/1975,8.3,77685,41.7797,1110,,,,55.300,0,4526.8,456611.485
12/1/1975,8.2,78017,42.3462,1091,,,,55.600,0,4528.7,461447.962
1/1/1976,7.9,78503,42.9082,1195,,,,55.800,0,4553.5,472872.862
2/1/1976,7.7,78816,43.3407,1190,,,,55.900,0,4583.4,474949.243
3/1/1976,7.6,79048,43.4281,1164,,,,56.000,0,4601.8,478539.651
4/1/1976,7.7,79292,43.6518,1132,,,,56.100,0,4626.6,480828.717
5/1/1976,7.4,79312,43.8315,1194,,,,56.400,0,4640.8,480297.605
6/1/1976,7.6,79376,43.8775,1188,0.801363636,,,56.700,0,4644.1,486201.111
7/1/1976,7.8,79547,44.1248,1245,0.981904762,,,57.000,0,4660,486539.965
8/1/1976,7.8,79704,44.4262,1309,1.137272727,,,57.300,0,4678,488221.016
9/1/1976,7.6,79892,44.5711,1481,1.178095238,,,57.600,0,4685.6,489634.109
10/1/1976,7.7,79911,44.5600,1425,1.427,,,57.900,0,4689.5,483856.772
11/1/1976,7.8,80240,45.2454,1531,1.481052632,,,58.100,0,4728.2,491901.545
12/1/1976,7.8,80448,45.7310,1511,1.492272727,,,58.400,0,4744.1,504644.61
1/1/1977,7.5,80690,45.4156,1466,1.313809524,,,58.700,0,4726.1,501353.403
2/1/1977,7.6,80988,46.1358,1560,1.302631579,,,59.300,0,4743.2,508170.132
3/1/1977,7.4,81391,46.7158,1660,1.373478261,,,59.600,0,4765.4,514317.564
4/1/1977,7.2,81728,47.1719,1660,1.407,,,60.000,0,4789.3,513695.131
5/1/1977,7,82088,47.5410,1668,1.201904762,,,60.200,0,4814.4,514019.565
6/1/1977,7.2,82488,47.9063,1752,1.148181818,,,60.500,0,4829.7,518656.575
7/1/1977,6.9,82834,47.9714,1687,1.055263158,,,60.800,0,4848.1,520068.466
8/1/1977,7,83075,48.0157,1780,0.785217391,,,61.100,0,4861.6,520927.616
9/1/1977,6.8,83532,48.2097,1674,0.62952381,,,61.300,0,4900.6,522840.578
10/1/1977,6.8,83800,48.2839,1758,0.4175,,,61.600,0,4956.6,526756.622
11/1/1977,6.8,84173,48.3755,1771,0.434736842,,,62.000,0,4987.6,529163.446
12/1/1977,6.4,84410,48.4573,1754,0.508571429,,,62.300,0,5014.3,536176.037
1/1/1978,6.4,84594,47.7512,1740,0.47047619,83.7,,62.700,0,4995.2,519760.854
2/1/1978,6.3,84948,48.0098,1736,0.468333333,84.3,,63.000,0,5021.5,531680.817
3/1/1978,6.3,85460,48.9358,1799,0.460909091,78.8,,63.400,0,5052.8,537019.566
4/1/1978,6.1,86162,49.9074,1948,0.4105,81.6,,63.900,0,5093.2,553289.355
5/1/1978,6,86509,50.1513,1766,0.33952381,82.9,,64.500,0,5095.2,552763.05
6/1/1978,5.9,86950,50.4751,1983,0.222727273,80.0,,65.000,0,5124.9,555827.153
7/1/1978,6.2,87204,50.4371,1786,0.1505,82.4,,65.500,0,5136.2,551247.821
8/1/1978,5.9,87483,50.6393,1691,0.044347826,78.4,,65.900,0,5159.7,558437.048
9/1/1978,6,87621,50.7631,1751,-0.149,80.4,,66.500,0,5173.3,557162.141
10/1/1978,5.8,87956,51.1523,1781,-0.211428571,79.3,,67.100,0,5195.9,562133.198
11/1/1978,5.9,88391,51.5456,1795,-0.6195,75.0,,67.500,0,5202.6,564568.86
12/1/1978,6,88671,51.8060,1818,-0.709,66.1,,67.900,0,5236.1,567590.907
1/1/1979,5.9,88808,51.5250,1461,-0.760454545,72.1,,68.500,0,5248.7,561382.192
2/1/1979,5.9,89055,51.7780,1492,-0.618333333,73.9,,69.200,0,5278.5,558729.039
3/1/1979,5.8,89479,51.9382,1720,-0.672272727,68.4,,69.900,0,5294.3,574897.892
4/1/1979,5.8,89417,51.3251,1597,-0.5965,66.0,,70.600,0,5242.7,559387.521
